zip_code,overall,grocery_stores,restaurants,low_income,high_income,cash_buffer_days
60601,0.5,,0.6,0.5,0.5,17
60602,0.8,1.0,0.7,,1.0,19
60603,0.9,1.2,0.6,,0.9,17
60604,0.9,,0.8,,,20
60605,1.0,,1.1,1.0,1.0,16
60606,0.5,0.5,0.5,,1.0,17
60607,1.0,0.4,0.9,1.0,0.9,12
60608,2.0,,2.0,2.0,2.0,11
60609,2.7,1.5,3.0,2.7,3.1,7
60610,0.9,,0.9,0.9,0.9,14
60611,0.8,0.5,0.8,0.8,0.8,17
60612,1.9,1.3,1.9,1.9,1.8,13
60613,1.6,0.7,2.5,1.6,1.6,17
60614,0.9,0.9,1.4,0.9,0.9,16
60615,2.9,2.1,3.4,2.9,2.9,7
60616,1.7,1.5,1.7,1.7,1.7,10
60617,4.5,1.8,6.4,4.5,5.9,8
60618,2.0,1.6,2.0,2.0,2.0,13
60619,4.5,2.0,4.9,4.4,4.9,6
60620,3.7,1.6,4.4,3.7,4.2,7
60621,3.8,1.7,4.3,3.7,,5
60622,1.5,1.0,1.5,1.5,1.5,13
60623,2.4,1.4,2.5,1.7,3.0,9
60624,2.9,2.1,3.0,2.8,,6
60625,2.2,1.2,2.2,1.9,2.2,13
60626,2.1,1.1,3.1,2.1,2.1,12
60628,4.6,2.4,4.8,4.5,5.8,6
60629,2.4,1.5,3.1,2.4,3.0,9
60630,2.8,1.9,3.0,2.7,3.0,12
60631,1.7,1.4,2.5,2.1,1.7,15
60632,2.0,,2.7,2.0,2.7,10
60633,4.2,2.4,6.0,4.0,,10
60634,2.3,1.4,3.3,2.2,2.5,12
60636,3.5,2.6,3.8,3.3,,6
60637,3.7,1.7,3.7,3.7,3.7,8
60638,2.4,,3.2,2.3,3.0,11
60639,2.1,1.6,2.1,2.0,2.7,9
60640,1.7,,2.6,1.7,1.7,13
60641,2.3,1.2,2.8,2.2,3.0,11
60642,1.1,0.9,1.2,1.1,0.9,14
60643,3.9,2.0,4.9,3.7,3.9,8
60644,2.5,1.7,3.5,2.5,,8
60645,1.6,1.0,2.0,1.6,1.6,12
60646,2.2,,2.3,2.2,2.2,14
60647,1.6,1.1,2.2,1.8,1.6,13
60649,4.9,2.9,5.4,4.8,5.4,8
60651,2.5,1.8,2.8,2.3,2.8,8
60652,2.6,1.9,2.7,2.3,2.7,11
60653,2.8,2.1,2.9,2.8,2.9,7
60654,0.6,0.6,0.6,0.6,0.6,16
60655,2.3,1.8,2.8,2.8,1.8,15
60656,2.4,1.0,2.8,2.4,2.4,11
60657,1.5,0.8,2.0,1.5,1.5,16
60659,1.9,1.8,2.1,1.9,2.1,10
60660,2.2,0.8,3.0,2.2,2.2,13
60661,0.5,,0.5,0.5,0.5,15
