periodid,area_name,dimname,category,growth_rate,spend_share,growth_contribution
201310,National,age,<25,0.1874,0.1008,0.0170
201310,National,age,25-34,0.0878,0.1492,0.0129
201310,National,age,35-44,0.0605,0.1978,0.0120
201310,National,age,45-54,0.0489,0.2128,0.0106
201310,National,age,55-64,0.0440,0.1676,0.0075
201310,National,age,65+,0.0435,0.1719,0.0076
201311,National,age,<25,0.1716,0.0997,0.0154
201311,National,age,25-34,0.0908,0.1489,0.0131
201311,National,age,35-44,0.0607,0.1985,0.0120
201311,National,age,45-54,0.0432,0.2159,0.0095
201311,National,age,55-64,0.0327,0.1688,0.0056
201311,National,age,65+,0.0120,0.1682,0.0021
201312,National,age,<25,0.1308,0.0968,0.0114
201312,National,age,25-34,0.0330,0.1422,0.0046
201312,National,age,35-44,0.0093,0.1961,0.0018
201312,National,age,45-54,-0.0037,0.2215,-0.0008
201312,National,age,55-64,-0.0069,0.1738,-0.0012
201312,National,age,65+,-0.0002,0.1696,0.0000
201401,National,age,<25,0.1615,0.0886,0.0127
201401,National,age,25-34,0.0676,0.1485,0.0097
201401,National,age,35-44,0.0353,0.1935,0.0068
201401,National,age,45-54,0.0167,0.2154,0.0036
201401,National,age,55-64,0.0033,0.1734,0.0006
201401,National,age,65+,-0.0071,0.1806,-0.0013
201402,National,age,<25,0.1925,0.0802,0.0135
201402,National,age,25-34,0.0798,0.1620,0.0124
201402,National,age,35-44,0.0387,0.2013,0.0078
201402,National,age,45-54,0.0217,0.2149,0.0047
201402,National,age,55-64,0.0155,0.1697,0.0027
201402,National,age,65+,-0.0082,0.1719,-0.0015
201403,National,age,<25,0.1564,0.0817,0.0114
201403,National,age,25-34,0.0611,0.1589,0.0094
201403,National,age,35-44,0.0324,0.1995,0.0065
201403,National,age,45-54,0.0164,0.2157,0.0036
201403,National,age,55-64,0.0105,0.1707,0.0018
201403,National,age,65+,-0.0068,0.1734,-0.0012
201404,National,age,<25,0.1710,0.0778,0.0120
201404,National,age,25-34,0.0768,0.1535,0.0116
201404,National,age,35-44,0.0523,0.1967,0.0103
201404,National,age,45-54,0.0463,0.2167,0.0101
201404,National,age,55-64,0.0492,0.1739,0.0086
201404,National,age,65+,0.0276,0.1813,0.0052
201405,National,age,<25,0.1752,0.0770,0.0121
201405,National,age,25-34,0.0866,0.1521,0.0128
201405,National,age,35-44,0.0572,0.1963,0.0112
201405,National,age,45-54,0.0491,0.2203,0.0109
201405,National,age,55-64,0.0381,0.1762,0.0068
201405,National,age,65+,0.0048,0.1781,0.0009
